throughput,threads,uratio,lsize
7679558.04683607,1,0,100
731497.760079642,1,0,1000
35394.0446650124,1,0,10000
4025597.31209557,4,0,100
334170.646766169,4,0,1000
22289.905519642,4,0,10000
1203561.72533466,6,0,100
131231.912784936,6,0,1000
16308.9915548932,6,0,10000
1305724.53016815,8,0,100
122865.841584158,8,0,1000
15836.4717542121,8,0,10000
1282124.13452028,10,0,100
120357.884330203,10,0,1000
17447.3684210526,10,0,10000
1122683.51440718,12,0,100
119610.479485912,12,0,1000
13133.0316742081,12,0,10000
7326008.47457627,1,10,100
338481.555333998,1,10,1000
33714.8554336989,1,10,10000
3262630.84577114,4,10,100
206095.52238806,4,10,1000
18308.6112493778,4,10,10000
1049227.18253968,6,10,100
81194.4444444444,6,10,1000
16506.7130780706,6,10,10000
1000020.28698664,8,10,100
79604.6511627907,8,10,1000
16303.5714285714,8,10,10000
997120.672601385,10,10,100
76017.8129638793,10,10,1000
15553.2969757065,10,10,10000
940704.197530864,12,10,100
76734.6837944664,12,10,1000
15055.0322260783,12,10,10000
5789177.29083665,1,100,100
454915.296462382,1,100,1000
32033.8983050847,1,100,10000
2585376.11940299,4,100,100
251637.630662021,4,100,1000
17140.7260069617,4,100,10000
926915.716410511,6,100,100
97413.3995037221,6,100,1000
17780.3180914513,6,100,10000
879773.155027241,8,100,100
88333.0034636319,8,100,1000
14587.5930521092,8,100,10000
867547.207118141,10,100,100
88573.2673267327,10,100,1000
14881.5071888944,10,100,10000
707478.497281265,12,100,100
84451.3580246914,12,100,1000
15677.0524233432,12,100,10000
