throughput,threads,uratio,lsize
1778852.94117647,1,0,100
174705.383848455,1,0,1000
17385.0374064838,1,0,10000
294920.01987084,4,0,100
71583.7059115748,4,0,1000
8284.22619047619,4,0,10000
329914.101290963,6,0,100
98915.7999009411,6,0,1000
14566.5342601788,6,0,10000
327131.748390292,8,0,100
120524.752475248,8,0,1000
17357.10747895,8,0,10000
333722.551928783,10,0,100
143073.872087258,10,0,1000
20349.8268184067,10,0,10000
365109.243697479,12,0,100
151414.5256917,12,0,1000
24061.2648221344,12,0,10000
1627471.08673978,1,10,100
168308.728179551,1,10,1000
17304.5862412762,1,10,10000
566236.200895077,4,10,100
87561.5690168818,4,10,1000
8791.17063492063,4,10,10000
742212.797619048,6,10,100
135538.423401091,6,10,1000
12709.9652949926,6,10,10000
893036.156513125,8,10,100
179523.290386521,8,10,1000
15984.6534653465,8,10,10000
908883.399209486,10,10,100
211516.815034619,10,10,1000
19822.628458498,10,10,10000
1053683.45679012,12,10,100
286546.983184965,12,10,1000
25485.9120118636,12,10,10000
1583911.76470588,1,100,100
170117.705735661,1,100,1000
16863.4097706879,1,100,10000
536162.444113264,4,100,100
92262.4254473161,4,100,1000
9794.93545183714,4,100,10000
575933.432687531,6,100,100
123437.066402379,6,100,1000
12486.8746904408,6,100,10000
680791.769955379,8,100,100
165917.326732673,8,100,1000
16252.9702970297,8,100,10000
748311.386138614,10,100,100
198197.427016329,10,100,1000
21031.6831683168,10,100,10000
786653.142008907,12,100,100
235062.252964427,12,100,1000
24900.6916996047,12,100,10000
