throughput,threads,uratio,lsize
7309698.5550573,1,0,100
476228.813559322,1,0,1000
28875.4359740907,1,0,10000
13832106.4356436,4,0,100
1885567.31246895,4,0,1000
112602.583209141,4,0,10000
29384541.769649,6,0,100
2803848.63523573,6,0,1000
175960.871718673,6,0,10000
19404410.0790514,8,0,100
3572117.03703704,8,0,1000
224871.159563925,8,0,10000
27344682.3354775,10,0,100
5208934.19099456,10,0,1000
285648.568608095,10,0,10000
22770646.0701928,12,0,100
5233311.29748397,12,0,1000
345078.179119248,12,0,10000
6599019.92031873,1,10,100
319820.538384845,1,10,1000
29049.850448654,1,10,10000
9371722.13967311,4,10,100
1129338.30104322,4,10,1000
109875.310481868,4,10,10000
13362224.0356083,6,10,100
978131.479736098,6,10,1000
160962.797619048,6,10,10000
16056500.7414731,8,10,100
1148994.56253089,8,10,1000
205228.599703117,8,10,10000
17000059.2007893,10,10,100
1657661.38613861,10,10,1000
247393.086419753,10,10,10000
15664348.1262327,12,10,100
3143806.72268908,12,10,1000
287072.700296736,12,10,10000
4738585.86361374,1,100,100
360432.984554061,1,100,1000
27859.4917787743,1,100,10000
2629131.61801089,4,100,100
748880.278191754,4,100,1000
96559.3641331346,4,100,10000
3019437.96342066,6,100,100
944992.075284794,6,100,1000
134582.133995037,6,100,10000
3487805.83003953,8,100,100
1153593.9334638,8,100,1000
160883.663366337,8,100,10000
5597583.7037037,10,100,100
1708711.81413742,10,100,1000
200754.576942108,10,100,10000
4883986.19329389,12,100,100
2035957.14285714,12,100,1000
226576.162215628,12,100,10000
